x,y,z
15.005934328,16.817000000,57.380799246
14.995453203,16.884000000,57.329597455
14.985140049,16.951000000,57.278429530
14.974993964,17.018000000,57.227414493
14.965014045,17.085000000,57.176673823
14.955199391,17.152000000,57.126331491
14.945549099,17.219000000,57.076514005
14.936062267,17.286000000,57.027350447
14.926737992,17.353000000,56.978972520
14.917575374,17.420000000,56.931514586
14.908573508,17.487000000,56.885089473
14.899731494,17.554000000,56.839714875
14.891048429,17.621000000,56.795384480
14.882523411,17.688000000,56.752091972
14.874155538,17.755000000,56.709831038
14.865943906,17.822000000,56.668595363
14.857887615,17.889000000,56.628378633
14.849985762,17.956000000,56.589174533
14.842237445,18.023000000,56.550976750
14.834641762,18.090000000,56.513778969
14.827197810,18.157000000,56.477574876
14.819904687,18.224000000,56.442358157
14.812761491,18.291000000,56.408122498
14.805767320,18.358000000,56.374861584
14.798921272,18.425000000,56.342569101
14.792222444,18.492000000,56.311238735
14.785669934,18.559000000,56.280864171
14.779262840,18.626000000,56.251439096
14.773000260,18.693000000,56.222957195
14.766881292,18.760000000,56.195412154
14.760905033,18.827000000,56.168797659
14.755070581,18.894000000,56.143107395
14.749377035,18.961000000,56.118335049
14.743823491,19.028000000,56.094474305
14.738409048,19.095000000,56.071518851
14.733132803,19.162000000,56.049462371
14.727993855,19.229000000,56.028298551
14.722991300,19.296000000,56.008021077
14.718124238,19.363000000,55.988623636
14.713391765,19.430000000,55.970099912
14.708792979,19.497000000,55.952443591
14.704326979,19.564000000,55.935648360
14.699992861,19.631000000,55.919707903
14.695789725,19.698000000,55.904615907
14.691716667,19.765000000,55.890366058
14.687772786,19.832000000,55.876952041
14.683957178,19.899000000,55.864367542
14.680268943,19.966000000,55.852606247
14.676707178,20.033000000,55.841661842
14.673270980,20.100000000,55.831528012
14.669959448,20.167000000,55.822198443
14.666771679,20.234000000,55.813666821
14.663706771,20.301000000,55.805926831
14.660763822,20.368000000,55.798972160
14.657941930,20.435000000,55.792796494
14.655240192,20.502000000,55.787393517
14.652657706,20.569000000,55.782756916
14.650193570,20.636000000,55.778880377
14.647846882,20.703000000,55.775757584
14.645616740,20.770000000,55.773382225
14.643502241,20.837000000,55.771747985
14.641502484,20.904000000,55.770848549
14.639616565,20.971000000,55.770677604
14.637843583,21.038000000,55.771228835
14.636182636,21.105000000,55.772495928
14.634632822,21.172000000,55.774472568
14.633193237,21.239000000,55.777152442
14.631862981,21.306000000,55.780529235
14.630641151,21.373000000,55.784596633
14.629526844,21.440000000,55.789348322
14.628519159,21.507000000,55.794777988
14.627617193,21.574000000,55.800879315
14.626820044,21.641000000,55.807645991
14.626126809,21.708000000,55.815071701
14.625536588,21.775000000,55.823150130
14.625048477,21.842000000,55.831874965
14.624661574,21.909000000,55.841239891
14.624374977,21.976000000,55.851238594
14.624187784,22.043000000,55.861864759
14.624099093,22.110000000,55.873112073
14.624108001,22.177000000,55.884974221
14.624213607,22.244000000,55.897444890
14.624415007,22.311000000,55.910517764
14.624711301,22.378000000,55.924186529
14.625101585,22.445000000,55.938444872
14.625584958,22.512000000,55.953286478
14.626160516,22.579000000,55.968705033
14.626827359,22.646000000,55.984694223
14.627584584,22.713000000,56.001247732
14.628431288,22.780000000,56.018359249
14.629366570,22.847000000,56.036022457
14.630389527,22.914000000,56.054231042
14.631499257,22.981000000,56.072978692
14.632694858,23.048000000,56.092259090
14.633975428,23.115000000,56.112065924
14.635340064,23.182000000,56.132392878
14.636787865,23.249000000,56.153233639
14.638317927,23.316000000,56.174581892
14.639929350,23.383000000,56.196431323
14.641621230,23.450000000,56.218775619
14.643392665,23.517000000,56.241608464
14.645242754,23.584000000,56.264923544
14.647170594,23.651000000,56.288714545
14.649175283,23.718000000,56.312975154
14.651255918,23.785000000,56.337699055
14.653411598,23.852000000,56.362879935
14.655641420,23.919000000,56.388511479
14.657944482,23.986000000,56.414587373
14.660319882,24.053000000,56.441101302
14.662766718,24.120000000,56.468046954
14.665284088,24.187000000,56.495418013
14.667871088,24.254000000,56.523208165
14.670526818,24.321000000,56.551411095
14.673250374,24.388000000,56.580020491
14.676040855,24.455000000,56.609030037
14.678897359,24.522000000,56.638433419
14.681818983,24.589000000,56.668224323
14.684804825,24.656000000,56.698396435
14.687853983,24.723000000,56.728943440
14.690965555,24.790000000,56.759859025
14.694138638,24.857000000,56.791136874
14.697372330,24.924000000,56.822770675
14.700665729,24.991000000,56.854754112
14.704017934,25.058000000,56.887080872
14.707428041,25.125000000,56.919744639
14.710895148,25.192000000,56.952739101
