x,y,z
-14.097415297,6.030000000,18.601321924
-14.155011057,6.097000000,18.710891474
-14.211463978,6.164000000,18.822715808
-14.266783403,6.231000000,18.936785543
-14.320978677,6.298000000,19.053090171
-14.374059144,6.365000000,19.171618068
-14.426034147,6.432000000,19.292356507
-14.476913031,6.499000000,19.415291674
-14.526705139,6.566000000,19.540408681
-14.575419814,6.633000000,19.667691583
-14.623066402,6.700000000,19.797123396
-14.669654246,6.767000000,19.928686107
-14.715192689,6.834000000,20.062360697
-14.759691076,6.901000000,20.198127158
-14.803158751,6.968000000,20.335964507
-14.845605057,7.035000000,20.475850811
-14.887039338,7.102000000,20.617763198
-14.927470938,7.169000000,20.761677884
-14.966909201,7.236000000,20.907570190
-15.005363471,7.303000000,21.055414561
-15.042843092,7.370000000,21.205184588
-15.079357407,7.437000000,21.356853031
-15.114915761,7.504000000,21.510391835
-15.149527497,7.571000000,21.665772159
-15.183201959,7.638000000,21.822964392
-15.215948492,7.705000000,21.981938181
-15.247776439,7.772000000,22.142662446
-15.278695143,7.839000000,22.305105413
-15.308713950,7.906000000,22.469234628
-15.337842201,7.973000000,22.635016988
-15.366089243,8.040000000,22.802418759
-15.393464418,8.107000000,22.971405603
-15.419977070,8.174000000,23.141942602
-15.445636543,8.241000000,23.313994282
-15.470452182,8.308000000,23.487524638
-15.494433329,8.375000000,23.662497156
-15.517589329,8.442000000,23.838874844
-15.539929526,8.509000000,24.016620249
-15.561463263,8.576000000,24.195695489
-15.582199885,8.643000000,24.376062275
-15.602148735,8.710000000,24.557681935
-15.621319157,8.777000000,24.740515443
-15.639720495,8.844000000,24.924523441
-15.657362093,8.911000000,25.109666266
-15.674253295,8.978000000,25.295903977
-15.690403445,9.045000000,25.483196377
-15.705821886,9.112000000,25.671503040
-15.720517963,9.179000000,25.860783340
-15.734501019,9.246000000,26.050996468
-15.747780398,9.313000000,26.242101469
-15.760365444,9.380000000,26.434057256
-15.772265502,9.447000000,26.626822643
-15.783489914,9.514000000,26.820356369
-15.794048024,9.581000000,27.014617118
-15.803949178,9.648000000,27.209563552
-15.813202718,9.715000000,27.405154331
-15.821817988,9.782000000,27.601348139
-15.829804332,9.849000000,27.798103708
-15.837171095,9.916000000,27.995379845
-15.843927620,9.983000000,28.193135453
-15.850083250,10.050000000,28.391329560
-15.855647330,10.117000000,28.589921339
-15.860629204,10.184000000,28.788870132
-15.865038215,10.251000000,28.988135479
-15.868883708,10.318000000,29.187677136
-15.872175026,10.385000000,29.387455099
-15.874921513,10.452000000,29.587429630
-15.877132513,10.519000000,29.787561281
-15.878817370,10.586000000,29.987810910
-15.879985428,10.653000000,30.188139710
-15.880646030,10.720000000,30.388509231
-15.880808521,10.787000000,30.588881397
-15.880482244,10.854000000,30.789218533
-15.879676543,10.921000000,30.989483384
-15.878400763,10.988000000,31.189639136
-15.876664247,11.055000000,31.389649438
-15.874476339,11.122000000,31.589478422
-15.871846382,11.189000000,31.789090725
-15.868783721,11.256000000,31.988451505
-15.865297700,11.323000000,32.187526465
-15.861397662,11.390000000,32.386281870
-15.857092951,11.457000000,32.584684566
-15.852392912,11.524000000,32.782701999
-15.847306887,11.591000000,32.980302236
-15.841844222,11.658000000,33.177453979
-15.836014259,11.725000000,33.374126582
-15.829826343,11.792000000,33.570290075
-15.823289818,11.859000000,33.765915174
-15.816414027,11.926000000,33.960973299
-15.809208314,11.993000000,34.155436593
-15.801682023,12.060000000,34.349277935
-15.793844499,12.127000000,34.542470958
-15.785705085,12.194000000,34.734990060
-15.777273124,12.261000000,34.926810422
-15.768557961,12.328000000,35.117908021
-15.759568940,12.395000000,35.308259645
-15.750315404,12.462000000,35.497842905
-15.740806698,12.529000000,35.686636246
-15.731052164,12.596000000,35.874618965
-15.721061148,12.663000000,36.061771219
-15.710842993,12.730000000,36.248074038
-15.700407043,12.797000000,36.433509334
-15.689762641,12.864000000,36.618059918
-15.678919132,12.931000000,36.801709503
-15.667885860,12.998000000,36.984442718
-15.656672168,13.065000000,37.166245117
