region,x_mm,half_width_mm,half_height_mm,width_slope,height_slope,width_second,height_second
chain,194.0,22.5,22.8,-0.02316468253968259,-0.05892857142857133,0.0,0.0
capsule,207.0,22.0,22.0,0.01843426396413318,0.058723024920586335,0.0,0.0
capsule,209.55,22.047679796150703,22.150478216721073,0.019225349896090933,0.059587146301262994,0.0006204595544766653,0.0006777422593542377
capsule,212.1,22.09939413055439,22.305363452483594,0.02159860769196415,0.062179510443292924,0.0012409191089533236,0.0013554845187084678
capsule,214.65,22.15917754146405,22.469062726329014,0.025554037351752892,0.06650011734667619,0.001861378663429989,0.0020332267780627054
capsule,217.2,22.23106456713266,22.64598305729879,0.03109163887545707,0.0725489670114127,0.0024818382179066473,0.0027109690374169356
capsule,219.75,22.31907943891698,22.840517986495087,0.03815078346173749,0.08024677744172595,0.002864537767131103,0.0030778015094119022
capsule,222.3,22.425061326173502,23.054203731892287,0.04473072066639671,0.0869772427769876,0.0022961972953466927,0.0022009948319697517
capsule,224.85,22.54597423634301,23.282201446184366,0.04986138966800562,0.0914718510847717,0.001727856823562289,0.0013241881545276112
capsule,227.4,22.678122535507736,23.518809693951265,0.053542790466564356,0.09373060236507838,0.0011595163517778787,0.0004473814770854605
capsule,229.95,22.817810589749897,23.758327039772915,0.05577492306207281,0.09375349661790756,0.0005911758799934752,-0.0004294252003566798
capsule,232.5,22.961342765151716,23.995052048229237,0.05655778745453106,0.09154053384325929,2.2835408209064987e-05,-0.0013062318777988303
capsule,235.05,23.105023427795413,24.22328328390018,0.055891383643939044,0.0870917140411335,-0.000545505063575345,-0.002183038555240981
capsule,237.6,23.245156943763206,24.437319311365663,0.05377571163029682,0.08040703721153032,-0.0011138455353597487,-0.0030598452326831213
capsule,240.15,23.37804767913733,24.63145869520563,0.05021077141360432,0.07148650335444957,-0.0016821860071441588,-0.003936651910125271
capsule,242.7,23.5,24.8,0.04519656299386163,0.06033011246989148,-0.0022505264789285627,-0.004813458587567413
capsule,245.25,23.608024601389772,24.93872103380078,0.03956406161381776,0.048678150995572565,-0.0021671216622823003,-0.004325334725623854
capsule,247.8,23.701957494170557,25.049316578548186,0.03414424251622185,0.038270905369209726,-0.002083716845636038,-0.003837210863680294
capsule,250.35,23.782341018162583,25.13496065965451,0.028937105701073967,0.029108375590803065,-0.0020003120289897765,-0.00334908700173674
capsule,252.9,23.84971751318611,25.19882730253204,0.023942651168374,0.021190561660352387,-0.0019169072123435145,-0.0028609631397931807
capsule,255.45,23.90462931906137,25.24409053259307,0.019160878918122053,0.01451746357785785,-0.0018335023956972533,-0.002372839277849627
capsule,258.0,23.947618775608618,25.27392437524988,0.014591788950318025,0.009089081343319318,-0.0017500975790509907,-0.0018847154159060673
capsule,260.55,23.979228222648075,25.29150285591476,0.01023538126496196,0.004905414956736864,-0.0016666927624047285,-0.0013965915539625078
capsule,263.1,24.0,25.3,0.006091655862053878,0.0019664644181104987,-0.0015832879457584662,-0.0009084676920189485
capsule,265.65,24.01020086371804,25.301179809313805,0.00183639654560774,-0.0013866215714783588,-0.00175417034165033,-0.0017214036723645124
capsule,268.2,24.00899523478951,25.291166191248063,-0.0028546128803627543,-0.006812694310948508,-0.001925052737542198,-0.0025343396527100948
capsule,270.75,23.995271950435097,25.26467302959057,-0.007981372415857516,-0.014311753800299898,-0.002095935133434065,-0.0033472756330556767
capsule,273.3,23.967919847875535,25.216414208129134,-0.013543882060876537,-0.023883800039532534,-0.002266817529325933,-0.004160211613401259
capsule,275.85,23.92582776433153,25.14110361065155,-0.01954214181541982,-0.035528833028646414,-0.0024376999252178006,-0.0049731475937468414
capsule,278.4,23.867884537023798,25.033455120945636,-0.025976151679487226,-0.049246852767641194,-0.002608582321109664,-0.005786083574092405
capsule,280.95,23.792979003173052,24.88818262279919,-0.03284591165307904,-0.06503785925651755,-0.002779464717001532,-0.006599019554437987
capsule,283.5,23.7,24.7,-0.04015142173619511,-0.0829018524952751,-0.0029503471128934,-0.0074119555347835694
capsule,286.05,23.588297670236688,24.46652035329137,-0.04734996956256789,-0.09942798900686839,-0.0026955727509283623,-0.005549720160583664
capsule,288.6,23.45906737866046,24.196953651238548,-0.053898842765929815,-0.11120542531425191,-0.0024407983889633243,-0.003687484786383759
capsule,291.15,23.313965795560005,23.903409079362266,-0.05979804134628077,-0.11823416141742554,-0.0021860240269982924,-0.001825249412183895
capsule,293.7,23.15464959122399,23.59799582318326,-0.06504756530362102,-0.1205141973163896,-0.0019312496650332543,3.698596201601005e-05
capsule,296.25,22.982775435941093,23.29282306822226,-0.0696474146379504,-0.11804553301114389,-0.0016764753030682165,0.0018992213362159156
capsule,298.8,22.8,23.0,-0.07359758934926895,-0.11082816850168839,-0.0014217009411031788,0.003761456710415821
capsule,301.35,22.608089034073327,22.728598486772956,-0.07676975957410544,-0.10243541821657307,-0.001066275705827382,0.0028210925328118605
capsule,303.9,22.40924461036953,22.475541127740524,-0.07903559544898858,-0.09644059658434795,-0.0007108504705515933,0.001880728355207921
capsule,306.45,22.20577788148095,22.234713204837824,-0.08039509697391851,-0.09284370360501279,-0.00035542523527579665,0.0009403641776039605
capsule,309.0,22.0,22.0,-0.08084826414889516,-0.09164473927856773,0.0,0.0
